12 DTA 37855 15 332912 612740 730486 105 753 END

13 DATA 37856 15 332912 612920 730326 41 237 END

12 DATA 37857 15 332912 613006 730353 109 255 END

13 DATA 37858 15 332912 613200 730166 0 445 END

12 DATA 37859 15 332912 613220 729953 41 498 END

13 DATA 37860 15 332912 613333 729286 89 333 END

12 DATA 37861 15 332912 613553 728700 51 523 END

13 DATA 37862 15 332912 613680 728860 101 394 END

12 DATA 37863 15 332912 613840 728646 50 853 END

13 DATA 37864 15 332912 613960 727313 105 366 END

12 DATA 37865 15 332912 614106 726913 70 450 END

13 DATA 37866 15 332912 614206 728113 88 424 END

12 DATA 37867 15 332912 614346 728300 91 828 END

13 DATA 37868 15 332912 614500 728433 92 617 END

12 DATA 37869 15 332912 614660 728353 82 582 END

13 DATA 37870 15 332912 614753 731633 51 809 END

12 DATA 37871 15 332912 614873 730913 109 602 END

13 DATA 37872 15 332912 615026 731206 79 533 END

12 DATA 37873 15 332912 615173 731580 109 549 END

